y/D,T,rmsT,O2,rmsO2,N2,rmsN2,H2O,rmsH2O,H2,rmsH2,OH,rmsOH,f,rmsf
-4.31,280.4,15.5,0.2146,0.0116,0.7582,0.0347,0.0252,0.0028,0,0.0001,0,0,0,0
-4.09,294.6,18.9,0.216,0.0116,0.7533,0.0347,0.0286,0.004,0,0.0001,0,0,0,0
-3.87,641.3,199.4,0.2289,0.0137,0.7222,0.0358,0.0469,0.0142,0,0.0001,0,0,0,0
-3.66,1102.2,87.7,0.21,0.0166,0.5971,0.0374,0.1909,0.0311,0,0,0,0,0,0.00008
-3.44,1255.2,97.3,0.2007,0.0176,0.5548,0.0357,0.2424,0.034,0,0.0004,0,0,0.00024,0.00064
-3.01,1262.9,102.3,0.1975,0.0198,0.5416,0.0361,0.2588,0.0358,0,0.0003,0,0,0.00068,0.00129
-2.8,1289,107.6,0.1926,0.0189,0.5418,0.0347,0.2635,0.0329,0,0.0002,0,0,0.00076,0.00131
-2.58,1275.3,97.7,0.194,0.0178,0.5415,0.0351,0.2624,0.0321,0,0,0,0,0.00065,0.00122
-2.37,1279.4,98.2,0.1922,0.0177,0.5419,0.0335,0.2639,0.0308,0,0.0004,0,0,0.00068,0.00116
-2.15,1269.8,109.5,0.1885,0.0186,0.5358,0.034,0.2737,0.0315,0,0.0004,0,0,0.00111,0.00156
-1.94,1269.4,107.5,0.1875,0.0182,0.5354,0.0341,0.2751,0.0335,0,0,0,0,0.00125,0.00156
-1.72,1273.3,106.3,0.1871,0.018,0.5393,0.034,0.2716,0.0306,0,0.0002,0,0,0.00097,0.00136
-1.51,1263.2,110.3,0.1831,0.0169,0.5269,0.0337,0.2879,0.0312,0,0.0005,0,0,0.00189,0.0019
-1.29,1259.4,106.8,0.1865,0.0172,0.5344,0.035,0.277,0.0317,0,0.0005,0,0,0.00126,0.00166
-1.08,1253.4,113.3,0.1893,0.0189,0.5344,0.0356,0.2744,0.0322,0,0.0002,0,0,0.00117,0.00154
-0.86,1225.8,194.2,0.1859,0.0188,0.5456,0.0361,0.2665,0.032,0,0.0004,0,0,0.00083,0.00133
-0.65,1143.3,100.3,0.1507,0.0253,0.3683,0.0461,0.2071,0.0261,0.2718,0.0678,0,0,0.0298,0.01028
-0.43,860.9,91.5,0,0,0.02,0.0131,0.0194,0.0087,0.9586,0.0469,0,0,0.70086,0.11747
-0.22,693.2,113.3,0,0,0.0001,0.0007,0.0002,0.0006,0.9977,0.0446,0,0,0.9951,0.04577
0,622.1,131.3,0,0,0,0,0.0001,0.0003,0.9979,0.0446,0,0,0.99753,0.04469
0.22,547.5,76.5,0.0003,0.0048,0.0073,0.0137,0.0006,0.0019,0.9898,0.0484,0,0,0.91041,0.10219
0.43,648,94.8,0.0917,0.0337,0.1384,0.0298,0.0326,0.0101,0.7354,0.0658,0,0,0.16347,0.04962
0.65,1252.8,221.4,0.1588,0.0262,0.4805,0.0524,0.2354,0.033,0.1233,0.0502,0,0,0.0109,0.00618
0.86,1245.7,124,0.1897,0.0204,0.5244,0.0333,0.2839,0.0326,0,0.0005,0,0,0.0017,0.0019
1.08,1316.4,126.8,0.1797,0.0195,0.5295,0.0335,0.2888,0.0307,0,0.0002,0,0,0.00191,0.00188
1.29,1316.2,129,0.1822,0.0215,0.5309,0.0333,0.2849,0.0342,0,0,0,0,0.00182,0.00195
1.51,1317.9,125.3,0.1841,0.0198,0.5286,0.0336,0.2851,0.0332,0.0001,0.0019,0,0,0.00177,0.00195
1.72,1322.2,123,0.1881,0.0218,0.5291,0.0328,0.2807,0.0343,0,0,0,0,0.00158,0.00193
1.94,1301.8,123.3,0.1935,0.0242,0.5338,0.0333,0.2703,0.0375,0.0002,0.0023,0,0,0.00114,0.00171
2.15,1291.9,123.5,0.1967,0.0224,0.5349,0.0327,0.2662,0.0344,0,0,0,0,0.00092,0.00149
2.37,1306.3,118.1,0.1969,0.0241,0.5379,0.034,0.2629,0.0334,0,0,0,0,0.00076,0.00133
2.58,1246,116.7,0.2094,0.0233,0.5367,0.0321,0.2517,0.0333,0,0,0,0,0.00042,0.00103
2.8,1241.9,118.9,0.2107,0.0237,0.5404,0.0333,0.2468,0.0345,0,0,0,0,0.00036,0.00094
3.01,1239.8,112.1,0.2092,0.0228,0.5474,0.0327,0.2412,0.0336,0,0,0,0,0.00024,0.00071
3.23,1234.8,118.4,0.2108,0.022,0.5521,0.0333,0.2348,0.0302,0,0,0,0,0.00009,0.00038
3.44,1199.5,103.5,0.212,0.0208,0.5511,0.0321,0.2348,0.0303,0,0,0,0,0.00009,0.00036
3.66,1014.7,87.7,0.2118,0.0162,0.6001,0.0349,0.1861,0.0253,0,0,0,0,0,0
3.87,481.9,167.9,0.2086,0.0127,0.7254,0.0351,0.064,0.0114,0,0,0,0,0,0
4.09,310.2,19.1,0.2119,0.0119,0.7599,0.0349,0.0262,0.0032,0,0.0002,0,0,0,0
4.31,298.1,16.1,0.2164,0.0118,0.7594,0.0348,0.0221,0.0025,0,0.0002,0,0,0,0
